context_type,count
Stolpmärke,1
Avsättningslager,1
Bärlager,1
Uutfyllnadslager,1
Syllstenshus,1
Kol-/sothorisont,1
Båtgrav,1
Dräneringspackning,1
Stolpfärgning,1
Stensatt markyta,1
Brya,1
"Fyllning, golvstenar",1
Ränna/Dike,1
Brandfläck,1
Skepssättning,1
Bordläggning,1
Grophau,1
Båtstöd,1
Kokgrop/ugn,1
Rostrningsgrop,1
