manual_species,count,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxon_id,taxon_id_is_new,common_name_id,common_name_id_is_new,needs_manual_review,review_reason
idegran,6,species (common name),Taxus,Taxaceae,Pinales,idegran,Taxus baccata,Plantae,5284517.0,Taxus baccata,SPECIES,EXACT,99.0,https://www.gbif.org/species/5284517,Canada Yew,idegran,,carried-over (species_split_taxa_gbif_matches.csv),Taxus,Taxaceae,Pinales,Plantae,Taxus baccata,5483,False,4155,False,False,
cf salix sp,5,genus (latin),Salix,Salicaceae,Salicales,,,Plantae,3039576.0,Salix,GENUS,EXACT,95.0,https://www.gbif.org/species/3039576,Sallow,cf salix sp,,carried-over (species_split_taxa_gbif_matches.csv),Salix,Salicaceae,Malpighiales,Plantae,Salix,47013,True,4305,True,False,
vikare,5,animal (common name),Pusa,Phocidae,Carnivora,vikare,Pusa hispida,Animalia,5219369.0,Pusa hispida,SPECIES,EXACT,100.0,https://www.gbif.org/species/5219369,Arctic Ringed Seal,vikare,,carried-over (species_split_taxa_gbif_matches.csv),Pusa,Phocidae,Carnivora,Animalia,Pusa hispida,47036,True,4306,True,False,
poppel,5,genus (suffix-inferred),Populus,Salicaceae,Salicales,,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar",poppel,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,47026,True,4307,True,False,
gris,5,animal (common name),Sus,Suidae,Artiodactyla,gris,Sus scrofa domesticus,Animalia,11374585.0,Sus scrofa domesticus,SUBSPECIES,EXACT,99.0,https://www.gbif.org/species/11374585,Domestic Pig,gris,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa domesticus,47015,True,4308,True,False,
cf picea sp,5,genus (latin),Picea,Pinaceae,Pinales,,,Plantae,7606064.0,Picea,GENUS,EXACT,95.0,https://www.gbif.org/species/7606064,Spruce,cf picea sp,,carried-over (species_split_taxa_gbif_matches.csv),Picea,Pinaceae,Pinales,Plantae,Picea,47037,True,4309,True,False,
cf tilia sp,5,genus (latin),Tilia,Tiliaceae,Malvales,,,Plantae,3152041.0,Tilia,GENUS,EXACT,96.0,https://www.gbif.org/species/3152041,Basswood,cf tilia sp,,carried-over (species_split_taxa_gbif_matches.csv),Tilia,Malvaceae,Malvales,Plantae,Tilia,47038,True,4310,True,False,
cf alnus sp,5,genus (latin),Alnus,Betulaceae,Fagales,,,Plantae,2876099.0,Alnus,GENUS,EXACT,95.0,https://www.gbif.org/species/2876099,Alder,cf alnus sp,,carried-over (species_split_taxa_gbif_matches.csv),Alnus,Betulaceae,Fagales,Plantae,Alnus,47039,True,4311,True,False,
pilört,5,genus (suffix-inferred),Persicaria,Polygonaceae,Caryophyllales,,,Plantae,6390748.0,Persicaria,GENUS,EXACT,95.0,https://www.gbif.org/species/6390748,Knotweed,pilört,,carried-over (species_split_taxa_gbif_matches.csv),Persicaria,Polygonaceae,Caryophyllales,Plantae,Persicaria,47040,True,4312,True,False,
vicker,5,genus (suffix-inferred),Vicia,Fabaceae,Fabales,,,Plantae,2974751.0,Vicia,GENUS,EXACT,96.0,https://www.gbif.org/species/2974751,Vetch,vicker,,carried-over (species_split_taxa_gbif_matches.csv),Vicia,Fabaceae,Fabales,Plantae,Vicia,47041,True,4313,True,False,
olvon,4,species (common name),Viburnum,Alliaceae,Asparagales,olvon,Viburnum opulus,Plantae,2888605.0,Viburnum opulus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2888605,Crampbark,olvon,,carried-over (species_split_taxa_gbif_matches.csv),Viburnum,Viburnaceae,Dipsacales,Plantae,Viburnum opulus,25,False,23,False,False,
måra,4,"genus (suffix, ambiguous)",,,,,,,,,,,,,,måra,"Asperula, Cruciata, Galium, Phuopsis",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Asperula, Cruciata, Galium, Phuopsis"
rådjur,4,animal (common name),Capreolus,Cervidae,Artiodactyla,rådjur,Capreolus capreolus,Animalia,5220126.0,Capreolus capreolus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220126,Corzo,rådjur,,carried-over (species_split_taxa_gbif_matches.csv),Capreolus,Cervidae,Artiodactyla,Animalia,Capreolus capreolus,47042,True,4314,True,False,
hordeum sp,3,genus (latin),Hordeum,Poaceae,Poales,,,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,Barley,hordeum sp,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum,47022,True,4315,True,False,
gädda,3,animal (common name),Esox,Esocidae,Esociformes,gädda,Esox lucius,Animalia,2346633.0,Esox lucius,SPECIES,EXACT,100.0,https://www.gbif.org/species/2346633,American Pike,gädda,,carried-over (species_split_taxa_gbif_matches.csv),Esox,Esocidae,Esociformes,Animalia,Esox lucius,47043,True,4316,True,False,
