manual_species,count,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,resolved_order,resolved_order_is_new,resolved_family,resolved_family_is_new,resolved_genus,resolved_genus_is_new,resolved_species,resolved_scientific_name,taxon_id,taxon_id_is_new,matched_existing_taxon,common_name_id,common_name_id_is_new,common_name_text,common_name_language,taxonomy_changes_needed,needs_manual_review,review_reason
råg,98,species (common name),råg,Secale cereale,Plantae,2705966.0,Secale cereale,SPECIES,EXACT,99.0,https://www.gbif.org/species/2705966,Cereal Rye,råg,råg,,carried-over (species_split_taxa_gbif_matches.csv),Secale,Poaceae,Poales,Plantae,Secale cereale,Poales,False,Poaceae,False,Secale,False,cereale,Secale cereale,47021,True,False,4289,True,råg,2,new taxon 'Secale cereale' (author_id NULL); new Swedish common name 'råg',False,
häst,96,animal (common name),häst,Equus caballus,Animalia,2440886.0,Equus caballus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440886,Alberta Mountain Horse,"häst, hästböna, hästsko, hästspillning, hästtand",häst,,carried-over (species_split_taxa_gbif_matches.csv),Equus,Equidae,Perissodactyla,Animalia,Equus caballus,Perissodactyla,True,Equidae,True,Equus,True,caballus,Equus caballus,47022,True,False,4290,True,häst,2,new order 'Perissodactyla'; new family 'Equidae'; new genus 'Equus'; new taxon 'Equus caballus' (author_id NULL); new Swedish common name 'häst',False,
bok,81,species (common name),bok,Fagus sylvatica,Plantae,2882316.0,Fagus sylvatica,SPECIES,EXACT,100.0,https://www.gbif.org/species/2882316,Beech,bok,bok,,carried-over (species_split_taxa_gbif_matches.csv),Fagus,Fagaceae,Fagales,Plantae,Fagus sylvatica,Fagales,False,Fagaceae,False,Fagus,False,sylvatica,Fagus sylvatica,47023,True,False,4291,True,bok,2,new taxon 'Fagus sylvatica' (author_id NULL); new Swedish common name 'bok',False,
svin,73,animal (common name),svin,Sus scrofa domesticus,Animalia,11374585.0,Sus scrofa domesticus,SUBSPECIES,EXACT,99.0,https://www.gbif.org/species/11374585,Domestic Pig,"get alt. svin, svin, svinbete, tamsvin",svin,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa domesticus,Artiodactyla,True,Suidae,True,Sus,True,scrofa domesticus,Sus scrofa domesticus,47024,True,False,4292,True,svin,2,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa domesticus' (author_id NULL); new Swedish common name 'svin',False,
alm,72,"genus (suffix, ambiguous)",,,,,,,,,,,alm,alm,"Cocos, Phoenix, Ulmus",,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Cocos, Phoenix, Ulmus"
nävesläktet?,68,gbif only (no prior SEAD anchor),,,Plantae,304058091,Geranium,GENUS,VERNACULAR,,,Cranebills,näver,nävesläktet,,species/search (vernacular),Geranium,Geraniaceae,Geraniales,Plantae,,Geraniales,False,Geraniaceae,False,Geranium,False,indet.,Geranium indet.,47025,True,False,4293,True,nävesläktet,2,new taxon 'Geranium indet.' (author_id NULL); new Swedish common name 'nävesläktet',True,weak GBIF match (VERNACULAR); marked uncertain ('?') in the manual mapping
säl,60,animal (family),säl,,Animalia,5310.0,Phocidae,FAMILY,EXACT,96.0,https://www.gbif.org/species/5310,Crawling Seals,säl,säl,,carried-over (species_split_taxa_gbif_matches.csv),,Phocidae,Carnivora,Animalia,Phocidae,Carnivora,True,Phocidae,True,Phocidae indet,True,indet.,Phocidae indet indet.,47026,True,False,4294,True,säl,2,new order 'Carnivora'; new family 'Phocidae'; new genus 'Phocidae indet'; new taxon 'Phocidae indet indet.' (author_id NULL); new Swedish common name 'säl',False,
kubbvete,59,gbif only (no prior SEAD anchor),,,Plantae,160025822,Triticum compactum,SPECIES,VERNACULAR,,,,"bröd- kubbvete, kubbvete",kubbvete,,species/search (vernacular),Triticum,Poaceae,Poales,Plantae,,Poales,False,Poaceae,False,Triticum,False,spp.,Triticum spp.,18240,False,True,4295,True,kubbvete,2,new Swedish common name 'kubbvete',True,weak GBIF match (VERNACULAR)
får,59,animal (common name),får,Ovis aries,Animalia,2441110.0,Ovis aries,SPECIES,EXACT,99.0,https://www.gbif.org/species/2441110,Domestic Sheep,"får, fårtand",får,,carried-over (species_split_taxa_gbif_matches.csv),Ovis,Bovidae,Artiodactyla,Animalia,Ovis aries,Artiodactyla,True,Bovidae,True,Ovis,True,aries,Ovis aries,47027,True,False,4296,True,får,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Ovis'; new taxon 'Ovis aries' (author_id NULL); new Swedish common name 'får',False,
havre,57,species (common name),havre,Avena sativa var sativa,Plantae,7432992.0,Avena sativa sativa,VARIETY,EXACT,100.0,https://www.gbif.org/species/7432992,,"haver, havre",havre,,carried-over (species_split_taxa_gbif_matches.csv),Avena,Poaceae,Poales,Plantae,Avena sativa var sativa,Poales,False,Poaceae,False,Avena,False,sativa var sativa,Avena sativa var sativa,3743,False,True,2882,False,havre,2,,False,
get,49,animal (common name),get,Capra hircus,Animalia,2441056.0,Capra hircus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441056,Billy Goat,"get, get alt. svin",get,,carried-over (species_split_taxa_gbif_matches.csv),Capra,Bovidae,Artiodactyla,Animalia,Capra hircus,Artiodactyla,True,Bovidae,True,Capra,True,hircus,Capra hircus,47028,True,False,4297,True,get,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Capra'; new taxon 'Capra hircus' (author_id NULL); new Swedish common name 'get',False,
djur?,42,species (common name),tandrot,Cardamine bulbifera,Plantae,3045931.0,Cardamine bulbifera,SPECIES,EXACT,99.0,https://www.gbif.org/species/3045931,Coralroot,"bränt ben, djurben, gräsätare, hjärnsubstans, hörntand, koprolit, läder, tandrot, tjärat nöthår, tänder",djur,,carried-over (species_split_taxa_gbif_matches.csv),Cardamine,Brassicaceae,Brassicales,Plantae,Cardamine bulbifera,Brassicales,False,Brassicaceae,False,Cardamine,False,bulbifera,Cardamine bulbifera,47029,True,False,4298,True,djur,2,new taxon 'Cardamine bulbifera' (author_id NULL); new Swedish common name 'djur',True,marked uncertain ('?') in the manual mapping
brödvete,40,,,,,,,,,,,,"bröd- kubbvete, brödvete",brödvete,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
hjortdjur,29,animal (family),hjortdjur,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,Barbary Red Deer (barbarus),"hjort, hjortdjur, hjorthår",hjortdjur,,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,Artiodactyla,True,Cervidae,True,Cervus,True,elaphus,Cervus elaphus,47030,True,False,4299,True,hjortdjur,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Cervus'; new taxon 'Cervus elaphus' (author_id NULL); new Swedish common name 'hjortdjur',False,
sol?,28,,,,,,,,,,,,"sol, sol fraktion, sol-fraktion",sol,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
hordeum,26,genus (latin),,,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,Barley,hordeum,hordeum,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum,Poales,False,Poaceae,False,Hordeum,False,sp.,Hordeum sp.,18012,False,True,4300,True,Barley,1,new English common name 'Barley',False,
